Epoch,Train_Loss,Val_Loss,PSNR,SSIM,MSE
1,0.11398627981543541,0.10176991174618404,17.424989144007366,0.7730938792228699,0.018471341114491224
2,0.09747848212718964,0.09239899615446727,18.26020022233327,0.7998859584331512,0.01527910012130936
3,0.09118171349167824,0.0882167878250281,18.717735211054485,0.8110615809758505,0.013760796437660852
4,0.08740370392799378,0.0856652557849884,18.931541641553242,0.8179328938325247,0.013100825405369202
5,0.08419485807418824,0.08287864923477173,19.234526952107746,0.8262358407179514,0.01222243377317985
6,0.08187173038721085,0.08033009245991707,19.428319732348125,0.8291861514250437,0.011670178112884363
7,0.07981685027480126,0.07920040811101596,19.56298033396403,0.8345030148824056,0.011325006062785784
8,0.07797579050064087,0.0780736394226551,19.67407802740733,0.840250700712204,0.011033480754122138
9,0.07666277587413788,0.0766255296766758,19.813165068626404,0.8430831631024679,0.010673262101287643
10,0.07523643627762794,0.0755087931950887,19.90323543548584,0.8463287154833475,0.010430752687777082
11,0.07477778822183609,0.07610953102509181,19.862606326738995,0.8482547104358673,0.010532280197367072
12,0.07434247128665447,0.07427459210157394,20.10384480158488,0.8459589183330536,0.009983753086999059
13,0.07346450410783291,0.07465189943710963,20.06839195887248,0.8539098302523295,0.010044286726042628
14,0.07277414806187153,0.07245193359752496,20.285631219546,0.857858826716741,0.00955299062964817
15,0.07144831635057926,0.07311549596488476,20.218106309572857,0.8510932326316833,0.009682573533306519
16,0.07109147265553474,0.07264166822036107,20.328328212102253,0.8612699608008066,0.00945036105501155
17,0.07065853275358677,0.07285473868250847,20.278130372365315,0.8579789499441782,0.009530866363396248
18,0.06955240763723851,0.07174953818321228,20.328619082768757,0.8563287059466044,0.009416287920127312
19,0.06947966746985912,0.07249835257728894,20.281031529108684,0.8599201142787933,0.009522682754322886
20,0.0682730645686388,0.07140770802895229,20.488639672597248,0.8568579355875651,0.009053537466873726
21,0.06763289593160153,0.07016551556686561,20.63410182793935,0.867376317580541,0.008764747763052583
22,0.06914004571735859,0.06954195164144039,20.605453451474506,0.8671932220458984,0.008826425376658639
23,0.06703148484230041,0.07041216765840848,20.59243182341258,0.8688540458679199,0.008865898630271355
24,0.06608768828213214,0.0687590738137563,20.725145936012268,0.8708424866199493,0.00856779026798904
25,0.06649220988154411,0.07131718409558137,20.49380322297414,0.8644750912984213,0.009032159888496002
26,0.06581528834998608,0.06838477030396461,20.820329586664837,0.8703506390253702,0.008369941419611374
27,0.06503757044672966,0.07179272174835205,20.43219308058421,0.8679273426532745,0.009155298971260587
28,0.06499661512672901,0.0697072943051656,20.711464087168377,0.8696657518545786,0.008594351432596644
29,0.0648756155371666,0.06794349662959576,20.87631901105245,0.8731024662653605,0.008227620817100009
30,0.06444179534912109,0.06815005528430144,20.833377838134766,0.8716006875038147,0.008329799786830941
31,0.06382794208824634,0.06920878899594148,20.75527548789978,0.8732910851637522,0.008517009128505984
32,0.06330001272261143,0.06908695213496685,20.782487392425537,0.8735853731632233,0.008431819966062903
33,0.06321933135390281,0.06793221955498059,20.91134985287984,0.8741837640603384,0.008170819142833352
34,0.06279664866626262,0.06780917073289554,20.846569538116455,0.873793343702952,0.008301659331967434
35,0.06169166132807732,0.06768805906176567,20.909650325775146,0.878205289443334,0.008164680562913418
36,0.06196616470813751,0.06657238366703193,21.104708909988403,0.8796314199765524,0.00784071278758347
37,0.06190566182136536,0.07006915099918842,20.726513862609863,0.8748833139737447,0.008542691900705298
38,0.06137027852237224,0.06694410865505536,21.003602743148804,0.8786213795344034,0.008008598117157817
39,0.060057266429066655,0.07018973243733247,20.60780922571818,0.8750106890996298,0.008801718475297093
40,0.06076616443693638,0.06646991955737273,21.03001832962036,0.8767817517121633,0.007959418619672457
41,0.05997378632426262,0.06614923477172852,21.081873178482056,0.8796395361423492,0.00788796522344152
42,0.059861743450164796,0.06607268191874027,20.997953017552693,0.8814199964205424,0.008015449934949478
43,0.05955270655453205,0.06687746259073417,20.982206265131634,0.8806431690851847,0.008054942901556691
44,0.05831653945147991,0.06724702939391136,20.96984346707662,0.8789211312929789,0.008071828167885542
45,0.05798238791525364,0.06826760309437911,20.922813812891643,0.8803309698899587,0.00815785505498449
46,0.058037406131625176,0.0693501445154349,20.75815002123515,0.8758967916170756,0.00847631615276138
47,0.0575480305403471,0.06851293643315633,20.783685247103374,0.8760562837123871,0.008438441514347991
48,0.05713621862232685,0.06621698041756947,21.14429473876953,0.8821401298046112,0.007739690675710638
49,0.057471592649817466,0.06664681620895863,21.077755292256672,0.8796363472938538,0.007868341713522872
50,0.05670412786304951,0.06784741828838985,20.9212327003479,0.8773998618125916,0.008168129871288935
51,0.05638660721480846,0.06610957471032937,21.108311812082928,0.8822053074836731,0.007824251893907785
52,0.05564934678375721,0.06662451475858688,21.07406258583069,0.8838073710600535,0.007884807962303361
53,0.05711675949394703,0.06682352349162102,21.00612163543701,0.8805046280225118,0.008016713662073016
54,0.055242019668221475,0.06572013099988301,21.13827149073283,0.8846679627895355,0.007738400561114152
55,0.055321232452988624,0.06574585412939389,21.16729974746704,0.8809164265791575,0.007696596362317602
56,0.05506089262664318,0.06739695556461811,20.982453028361004,0.8803447385629019,0.008025435730814934
57,0.054507856667041776,0.06644630183776219,21.02194309234619,0.8822806974252065,0.00796449362921218
58,0.054448401927948,0.06642582702140014,21.00460211435954,0.884264717499415,0.008004743683462342
59,0.053983796834945676,0.06579635478556156,21.097228129704792,0.8847019275029501,0.0078118368207166595
60,0.053389983102679256,0.06634408545990785,21.123559872309368,0.8840540746847788,0.0077688926830887794
61,0.05361321933567524,0.06626638397574425,21.10829472541809,0.8848351438840231,0.007829705020412803
62,0.05271421127021313,0.06648665480315685,21.072192589441936,0.8845926225185394,0.00785263953730464
63,0.05209164090454579,0.06720314857860406,21.04096333185832,0.8801279465357462,0.00791453787436088
64,0.052342265695333484,0.06627691475053628,21.1730162302653,0.8860772550106049,0.0076796843980749445
65,0.05379117146134377,0.06802566101153691,20.92970371246338,0.8829895555973053,0.008128436359887322
66,0.0527159158885479,0.06787922233343124,20.937613248825073,0.879544754823049,0.008120122055212656
67,0.05243396528065205,0.0675201378762722,21.013353665669758,0.8819227417310079,0.007980609700704614
68,0.052148781865835186,0.06663246018191178,21.109098593393963,0.8826168378194174,0.007818459998816252
69,0.0504309044033289,0.06750174735983212,21.05105797449748,0.8812399506568909,0.007928271467487017
70,0.05025614015758038,0.06752607536812623,21.000826756159466,0.8811757862567902,0.007988174833978215
71,0.050597948879003526,0.06539633373419444,21.144871711730957,0.8844616015752157,0.0077086811264355974
72,0.05160070680081844,0.06986775745948155,20.769158601760864,0.8828012347221375,0.008446186315268278
73,0.05040526606142521,0.06592370010912418,21.136073271433514,0.8860927224159241,0.0077234898538639145
74,0.05078860424458981,0.06477868370711803,21.272557973861694,0.8884859879811605,0.007525791336471836
75,0.04932867661118508,0.06705857006212075,21.092729568481445,0.8848723073800405,0.007840480500211319
76,0.050297725722193716,0.06644531339406967,21.077816088994343,0.8831168413162231,0.007842324130857984
77,0.049479321464896205,0.06647422909736633,21.04603409767151,0.8874004979928335,0.007917972514405847
78,0.04906111031770706,0.06631103282173474,21.04244828224182,0.8843849301338196,0.007932937859247128
79,0.049789011999964716,0.06603843159973621,21.150492032368977,0.886253168185552,0.007725387501219909
80,0.04874304160475731,0.06665012426674366,21.01649006207784,0.886190394560496,0.007963613451768955
81,0.04819045968353748,0.06574758080144723,21.166826883951824,0.8876159290472666,0.007700488902628422
82,0.048339572250843045,0.06707292919357617,20.929395755132038,0.8862240513165792,0.008118799654766917
83,0.04773231126368046,0.06518237727383773,21.285770336786907,0.8888959089914957,0.0074903663868705435
84,0.04733506426215172,0.06796705101927121,20.99220832188924,0.8852576812108358,0.007989551251133284
85,0.04816540405154228,0.06703519262373447,21.040302117665608,0.8878232737382253,0.007921460860719284
86,0.04696737073361874,0.06844943761825562,20.848493973414104,0.8840786218643188,0.008314951322972775
87,0.047012541741132736,0.06774021560947101,21.01021607716878,0.8856390515963236,0.007982092211022973
88,0.04737000569701195,0.0677920722713073,20.862688620885212,0.8880602320035299,0.00826462428085506
89,0.04682855106890202,0.06622617008785407,21.14458163579305,0.8867348333199819,0.007719818968325853
90,0.046253786534070966,0.06764041135708491,21.056949297587078,0.8872509996096293,0.007880806534861525
91,0.045736691057682036,0.06729352846741676,21.023285786310833,0.8852516313393911,0.00796504745570322
92,0.04583388663828373,0.06577702922125657,21.17701729138692,0.8891589840253195,0.00767038941072921
93,0.04643265359103679,0.06720746370653312,21.146000226338703,0.8843873540560404,0.007728526368737221
94,0.0465386813133955,0.06782246381044388,20.934224128723145,0.8858288923899332,0.008108005082855621
95,0.045924036726355554,0.0675117950886488,21.05527440706889,0.8872491916020712,0.007902249305819472
96,0.045855038836598395,0.0671120174229145,21.13749106725057,0.8892953892548879,0.007796460374568899
97,0.04574445120990276,0.06733028528590997,21.046515305836994,0.886242022116979,0.007906877590964237
98,0.0448149623721838,0.0680478469779094,20.9126619497935,0.8858915865421295,0.008178713653857509
99,0.04468473374843598,0.06649096682667732,21.142778396606445,0.8882800738016764,0.007720559680213531
100,0.0452689877897501,0.06679610411326091,21.11254334449768,0.8862444361050924,0.0077809257588038845
